codigo,categoria,notas
UNE-EN ISO/IEC 17025:2017,calidad_laboratorio,
UNE-EN ISO 15189:2023,calidad_laboratorio,
UNE-EN ISO 9001:2015,calidad_laboratorio,
ISO 19011:2018,calidad_laboratorio,
ISO 31000:2018,calidad_laboratorio,
ISO 45001:2018,calidad_laboratorio,
UNE-EN ISO 14001:2026,calidad_laboratorio,
ISO 35001:2019,laboratorio_clinico_bioseguridad,
ISO 20387:2018,laboratorio_clinico_bioseguridad,
ISO 15190:2020,laboratorio_clinico_bioseguridad,
ISO 22367:2026,laboratorio_clinico_bioseguridad,
UNE-EN 12128:1998,laboratorio_clinico_bioseguridad,
UNE-EN 12469:2001,laboratorio_clinico_bioseguridad,
ISO 22000:2018,agroalimentaria,
ISO 22002-1:2025,agroalimentaria,
ISO 22002-4:2025,agroalimentaria,
ISO 22005:2007,agroalimentaria,
ISO 7218:2024,agroalimentaria,
ISO 6579-1:2017,agroalimentaria,
ISO 4833-1:2013,agroalimentaria,
ISO 21527-1,agroalimentaria,
ISO 21527-2,agroalimentaria,
ISO 14040:2006,medioambiente_sostenibilidad,
ISO 14044:2006,medioambiente_sostenibilidad,
ISO 14064-1:2018,medioambiente_sostenibilidad,
ISO 14067:2018,medioambiente_sostenibilidad,
ISO 14046:2014,medioambiente_sostenibilidad,
ISO 14090:2019,medioambiente_sostenibilidad,
ISO 14091:2021,medioambiente_sostenibilidad,
ISO 17298:2025,medioambiente_sostenibilidad,
ISO 59004:2024,medioambiente_sostenibilidad,
ISO 59010:2024,medioambiente_sostenibilidad,
ISO 59020:2024,medioambiente_sostenibilidad,
ISO 14006:2020,medioambiente_sostenibilidad,
ISO 14009:2020,medioambiente_sostenibilidad,
ISO 50001:2018,medioambiente_sostenibilidad,
ISO 5667-1:2023,agua_microbiologia_ambiental,
ISO 5667-3:2018,agua_microbiologia_ambiental,
ISO 5667-10:2020,agua_microbiologia_ambiental,
ISO 19458:2006,agua_microbiologia_ambiental,
ISO 8199:2018,agua_microbiologia_ambiental,
ISO 9308-1:2014,agua_microbiologia_ambiental,
ISO 20391-1:2018,biotecnologia_genomica,
ISO 20391-2:2019,biotecnologia_genomica,
ISO 20395:2019,biotecnologia_genomica,
ISO 20397-1:2022,biotecnologia_genomica,
ISO 20397-2:2021,biotecnologia_genomica,
ISO 20397-3:2025,biotecnologia_genomica,
ISO 20688-1:2020,biotecnologia_genomica,
ISO 20688-2:2024,biotecnologia_genomica,
ISO/IEC 42001:2023,datos_ia_seguridad,
ISO/IEC 23894:2023,datos_ia_seguridad,
ISO/IEC 27001:2022,datos_ia_seguridad,
ISO/IEC 27701:2025,datos_ia_seguridad,
